TU_ID	start	stop	tss	strand	rho_dependent	sigma
TU441_from_RpoD_mono	1150797	1152403	1150797	+	True	RpoD_mono
TU0_13164_from_RpoD_mono	1218206	1218424	None	+	True	RpoD_mono
TU0_1004_from_RPOS_MONOMER	1823979	1830063	1830063	-	True	RpoS_mono
TU0_8673_from_RpoD_mono	948891	949481	None	+	True	RpoD_mono
TU0_6550_from_RpoD_mono	2517279	2518798	2518798	-	True	RpoD_mono
TU784_from_RPOS_MONOMER	4194355	4194977	4194977	-	True	RpoS_mono
TU00177_from_RpoD_mono	3532538	3534707	3534707	-	True	RpoD_mono
TU00499_from_RpoD_mono	2060276	2060359	2060276	+	True	RpoD_mono
TU0_13077_from_RpoD_mono	925951	926655	None	-	True	RpoD_mono
TU0_13997_from_RpoD_mono	3782607	3783038	None	-	True	RpoD_mono
TU0_13238_from_RpoD_mono	1432015	1432281	None	-	True	RpoD_mono
TU0_14478_from_RPOH_MONOMER	3543480	3544221	3543480	+	True	RpoH_mono
TU0_12822_from_RPOS_MONOMER	177001	179183	179183	-	True	RpoS_mono
TU0_12822_from_RpoD_mono	177001	179183	179183	-	True	RpoD_mono
TU00090_from_RpoD_mono	3955935	3957468	3955935	+	True	RpoD_mono
TU0_1541_from_EG11355_MONOMER	4589656	4591335	4589656	+	True	FliA_mono
TU0_13648_from_RpoD_mono	2627814	2628887	None	+	True	RpoD_mono
TU0_8531_from_RpoD_mono	122697	122857	None	-	True	RpoD_mono
TU0_13885_from_RpoD_mono	3331732	3332703	None	+	True	RpoD_mono
TU00244_from_RpoD_mono	2160900	2163022	None	+	True	RpoD_mono
TU0_4782_with_TERM0322_from_RpoD_mono	2533632	2534402	2533632	+	False	RpoD_mono
TU0_13352_from_RpoD_mono	1702973	1703188	None	+	True	RpoD_mono
TU0_12879_from_RpoD_mono	309308	309895	None	-	True	RpoD_mono
TU0_3425_from_RPOE_MONOMER	3201332	3202197	3202197	-	True	RpoE_mono
TU356_from_RpoD_mono	574981	576093	576093	-	True	RpoD_mono
TU0_13148_from_RpoD_mono	1198902	1200603	None	-	True	RpoD_mono
TU0_14389_with_TERM0_1036_from_RpoD_mono	3398027	3399215	3399215	-	False	RpoD_mono
TU00161_from_RpoD_mono	2257741	2261619	2261619	-	True	RpoD_mono
TU0_14123_from_RpoD_mono	4276502	4277851	None	+	True	RpoD_mono
TU0_13769_from_RpoD_mono	2996056	2996850	None	-	True	RpoD_mono
TU0_14499_from_RpoD_mono	1367713	1368027	None	+	True	RpoD_mono
TU0_5042_from_RPOH_MONOMER	3244530	3245450	3244530	+	True	RpoH_mono
TU0_8471_from_RpoD_mono	1085329	1091746	1091746	-	True	RpoD_mono
TU0_13467_from_RpoD_mono	2034818	2036847	None	-	True	RpoD_mono
TU0_8691_from_RpoD_mono	1272983	1274401	1272983	+	True	RpoD_mono
TU0_7722_with_TERM0_1145_from_RPOS_MONOMER	1978120	1980466	1980466	-	False	RpoS_mono
TU0_13008_from_RpoD_mono	661975	663186	None	-	True	RpoD_mono
TU00430_with_TERM0_1045_from_RPOH_MONOMER	4160160	4161318	4161318	-	False	RpoH_mono
TU0_8345_from_RpoD_mono	2848861	2854438	2848861	+	True	RpoD_mono
TU0_8600_from_RpoD_mono	3873461	3874117	None	+	True	RpoD_mono
TU0_14255_with_RPLT_T2_from_RpoD_mono	1797387	1798451	1798451	-	False	RpoD_mono
TU0_14053_from_RpoD_mono	4021577	4022359	None	+	True	RpoD_mono
TU00295_from_RpoD_mono	2962383	2964059	None	-	True	RpoD_mono
TU0_14688_with_TERM0_1087_from_RpoD_mono	849432	850232	849432	+	False	RpoD_mono
TU00024_from_RpoD_mono	2238650	2239732	2239732	-	True	RpoD_mono
TU0_6551_from_RpoD_mono	2517279	2518806	2518806	-	True	RpoD_mono
TU0_14606_from_RpoD_mono	106530	107474	106530	+	True	RpoD_mono
TU0_13600_from_RpoD_mono	2464537	2465724	2464537	+	True	RpoD_mono
TU0_14138_from_RpoD_mono	4350607	4351104	None	+	True	RpoD_mono
TU0_8759_from_RpoD_mono	3387542	3388471	None	+	True	RpoD_mono
TU0_13708_from_RpoD_mono	2794359	2794808	None	-	True	RpoD_mono
TU0_13784_from_RpoD_mono	3026546	3028953	None	-	True	RpoD_mono
TU442_from_RpoD_mono	1148951	1151074	None	+	True	RpoD_mono
TU0_12944_from_RpoD_mono	485716	489122	485716	+	True	RpoD_mono
TU0_4783_from_RpoD_mono	4457923	4460861	4460861	-	True	RpoD_mono
TU0_1341_with_TERM0_1067_from_RpoD_mono	3057752	3058702	3057752	+	False	RpoD_mono
TU0_1281_with_TERM3_from_RpoD_mono	709385	710052	710052	-	False	RpoD_mono
TU0_1281_with_TERM73_from_RpoD_mono	709341	710052	710052	-	False	RpoD_mono
TU0_3426_from_RPOE_MONOMER	395777	398190	395777	+	True	RpoE_mono
TU0_13482_from_RpoD_mono	2068810	2069235	None	+	True	RpoD_mono
TU00370_from_RpoD_mono	2139658	2140972	None	-	True	RpoD_mono
TU0_1544_from_EG11355_MONOMER	1128637	1129388	1129388	-	True	FliA_mono
TU0_8674_from_RpoD_mono	947883	948791	None	-	True	RpoD_mono
TU00178_from_RpoD_mono	148	5020	148	+	True	RpoD_mono
TU00500_from_RpoD_mono	2464330	2464405	2464330	+	True	RpoD_mono
TU0_13078_from_RpoD_mono	930308	931301	931301	-	True	RpoD_mono
TU0_8837_from_RpoD_mono	564038	565201	None	-	True	RpoD_mono
TU0_13844_from_RpoD_mono	3190230	3192547	None	+	True	RpoD_mono
TU0_14323_from_RpoD_mono	4536808	4537524	None	-	True	RpoD_mono
TU00091_with_TERM0881_from_RpoD_mono	3551046	3553842	3551046	+	False	RpoD_mono
TU0_5061_from_RpoD_mono	4212182	4213232	4212182	+	True	RpoD_mono
TU0_1021_from_RpoD_mono	191812	192580	191812	+	True	RpoD_mono
TU0_14196_from_RpoD_mono	4534637	4535617	None	-	True	RpoD_mono
TU0_13947_from_RpoD_mono	3610992	3611579	None	+	True	RpoD_mono
TU787_from_RpoD_mono	4194355	4194882	4194882	-	True	RpoD_mono
TU0_13239_from_RpoD_mono	1433209	1433665	1433665	-	True	RpoD_mono
TU0_14479_from_RPOH_MONOMER	3527132	3528674	3527132	+	True	RpoH_mono
TU0_13541_from_RpoD_mono	2246759	2247640	None	-	True	RpoD_mono
TU0_13302_from_RpoD_mono	1608931	1609878	None	-	True	RpoD_mono
TU358_from_RpoD_mono	770507	773404	770507	+	True	RpoD_mono
TU0_13149_from_RpoD_mono	1200999	1201307	None	-	True	RpoD_mono
TU0_12823_from_RpoD_mono	179196	180754	179196	+	True	RpoD_mono
TU0_7741_from_RpoD_mono	1582231	1584688	1584688	-	True	RpoD_mono
TU00162_from_RpoD_mono	1782758	1785185	1785185	-	True	RpoD_mono
TU0_8532_from_RpoD_mono	1671914	1672971	1671914	+	True	RpoD_mono
TU00245_from_RpoD_mono	4330204	4331973	None	-	True	RpoD_mono
TU0_8346_from_RpoD_mono	3497932	3502805	None	+	True	RpoD_mono
TU0_13998_from_RpoD_mono	3783258	3787083	3783258	+	True	RpoD_mono
TU0_8692_from_RpoD_mono	1328441	1328692	None	-	True	RpoD_mono
TU0_4786_with_TERM0322_from_RpoD_mono	2533502	2534402	2533502	+	False	RpoD_mono
TU0_14390_with_TERM0_1036_from_RpoD_mono	3398027	3399378	3399378	-	False	RpoD_mono
TU0_6552_from_RpoD_mono	4229907	4231562	4231562	-	True	RpoD_mono
TU0_3463_from_RPOH_MONOMER	1920337	1921409	1921409	-	True	RpoH_mono
TU0_14124_from_RpoD_mono	4278003	4279652	None	+	True	RpoD_mono
TU0_13649_from_RpoD_mono	2633621	2633836	None	-	True	RpoD_mono
TU0_13770_from_RpoD_mono	2997006	2997079	None	-	True	RpoD_mono
TU0_13886_from_RpoD_mono	3332931	3333209	None	+	True	RpoD_mono
TU0_14500_from_RpoD_mono	436385	437359	None	-	True	RpoD_mono
TU0_8601_from_RpoD_mono	3893295	3894632	None	-	True	RpoD_mono
TU0_13353_from_RpoD_mono	1712351	1713006	1712351	+	True	RpoD_mono
TU0_12880_from_RpoD_mono	309970	310560	None	-	True	RpoD_mono
TU0_8472_from_RpoD_mono	2947178	2948595	2947178	+	True	RpoD_mono
TU0_14689_from_RpoD_mono	3053781	3054811	3053781	+	True	RpoD_mono
TU0_14689_from_RPOS_MONOMER	3053781	3054811	3053781	+	True	RpoS_mono
TU0_13468_from_RpoD_mono	2036980	2037393	None	+	True	RpoD_mono
TU0_1545_from_EG11355_MONOMER	1137574	1140209	1137574	+	True	FliA_mono
TU0_13009_from_RpoD_mono	663325	668295	668295	-	True	RpoD_mono
TU00431_with_TERM54_from_RpoD_mono	3638006	3638614	3638006	+	False	RpoD_mono
TU0_5062_from_RpoD_mono	4211703	4212179	4212179	-	True	RpoD_mono
TU443_from_RpoD_mono	1149893	1151074	None	+	True	RpoD_mono
TU00297_with_TERM0141_from_RpoD_mono	1108501	1112783	1108501	+	False	RpoD_mono
TU0_14054_from_RpoD_mono	4023011	4024504	None	+	True	RpoD_mono
TU00025_from_RPOS_MONOMER	787020	791304	791304	-	True	RpoS_mono
TU00025_from_RpoD_mono	787020	791304	791304	-	True	RpoD_mono
TU0_8676_from_RpoD_mono	971845	972624	None	-	True	RpoD_mono
TU00179_from_RpoD_mono	78848	83735	83735	-	True	RpoD_mono
TU0_14139_from_RpoD_mono	4352977	4354434	None	-	True	RpoD_mono
TU00501_from_RpoD_mono	3108387	3108463	3108387	+	True	RpoD_mono
TU0_8760_from_RpoD_mono	1402765	1403673	None	+	True	RpoD_mono
TU0_13079_from_RpoD_mono	936592	938560	None	+	True	RpoD_mono
TU0_13709_from_RpoD_mono	2794892	2795107	2795107	-	True	RpoD_mono
TU0_13785_from_RpoD_mono	3029389	3030837	None	+	True	RpoD_mono
TU0_12945_from_RpoD_mono	489334	490036	None	-	True	RpoD_mono
TU0_13410_from_RpoD_mono	1879936	1881021	None	+	True	RpoD_mono
TU0_12810_from_RpoD_mono	111649	113219	None	-	True	RpoD_mono
TU0_14257_from_RpoD_mono	1793277	1800757	1800757	-	True	RpoD_mono
TU00092_from_RpoD_mono	1015175	1015721	1015721	-	True	RpoD_mono
TU0_13483_from_RpoD_mono	2072803	2076158	None	+	True	RpoD_mono
TU00371_from_RpoD_mono	3845328	3848749	None	-	True	RpoD_mono
TU0_7743_from_RPOH_MONOMER	1580950	1581711	None	-	True	RpoH_mono
TU0_14608_from_RpoD_mono	131564	134212	131564	+	True	RpoD_mono
TU0_13601_from_RpoD_mono	2465877	2468484	None	+	True	RpoD_mono
TU0_4802_from_RpoD_mono	3900312	3904720	3904720	-	True	RpoD_mono
TU0_4802_with_TERM0563_from_RpoD_mono	3900272	3904720	3904720	-	False	RpoD_mono
TU0_8347_from_RpoD_mono	4347338	4349708	4349708	-	True	RpoD_mono
TU0_3464_from_RPOE_MONOMER	1887975	1888585	1888585	-	True	RpoE_mono
TU359_from_RpoD_mono	4363041	4363415	4363415	-	True	RpoD_mono
TU0_13150_from_RpoD_mono	1201482	1202156	None	-	True	RpoD_mono
TU0_1022_from_RpoD_mono	2798678	2802483	2798678	+	True	RpoD_mono
TU0_6553_from_RpoD_mono	4229907	4231639	4231639	-	True	RpoD_mono
TU788_from_RPOS_MONOMER	4105497	4106537	4105497	+	True	RpoS_mono
TU788_from_RpoD_mono	4105497	4106537	4105497	+	True	RpoD_mono
TU00163_from_RpoD_mono	608682	611890	611890	-	True	RpoD_mono
TU0_13240_from_RpoD_mono	1433784	1434917	None	-	True	RpoD_mono
TU0_14484_from_RPOH_MONOMER	2763928	2765013	2763928	+	True	RpoH_mono
TU0_5081_from_RpoD_mono	1689610	1694176	1694176	-	True	RpoD_mono
TU0_12825_from_RpoD_mono	183709	184095	None	-	True	RpoD_mono
TU0_13845_from_RpoD_mono	3192743	3192887	3192887	-	True	RpoD_mono
TU0_14324_from_RpoD_mono	4198589	4199284	None	+	True	RpoD_mono
TU0_1546_from_EG11355_MONOMER	3215578	3217142	3217142	-	True	FliA_mono
TU0_8693_from_RpoD_mono	1386898	1387919	1386898	+	True	RpoD_mono
TU0_8533_from_RpoD_mono	694324	695499	None	+	True	RpoD_mono
TU0_13948_from_RpoD_mono	3617215	3621450	None	+	True	RpoD_mono
TU0_14198_from_RpoD_mono	4555401	4556312	None	-	True	RpoD_mono
TU00246_from_RpoD_mono	1790833	1793176	None	-	True	RpoD_mono
TU0_8602_from_RpoD_mono	3946472	3948022	None	-	True	RpoD_mono
TU0_14691_from_RpoD_mono	2356064	2360233	None	-	True	RpoD_mono
TU0_13542_from_RpoD_mono	2247739	2248788	None	+	True	RpoD_mono
TU0_13303_from_RpoD_mono	1609990	1611275	None	-	True	RpoD_mono
TU0_14392_from_RpoD_mono	1489467	1489530	1489530	-	True	RpoD_mono
TU0_14125_from_RpoD_mono	4279806	4281098	None	-	True	RpoD_mono
TU0_13771_from_RpoD_mono	2997158	2997913	None	-	True	RpoD_mono
TU0_14501_from_RpoD_mono	4457923	4458387	None	-	True	RpoD_mono
TU461_from_RpoD_mono	1236732	1239172	1236732	+	True	RpoD_mono
TU0_4822_from_RpoD_mono	4049059	4049303	4049059	+	True	RpoD_mono
TU0_13167_from_RpoD_mono	1221528	1222142	None	-	True	RpoD_mono
TU0_8473_from_RpoD_mono	1710695	1712295	1710695	+	True	RpoD_mono
TU0_13999_from_RpoD_mono	3787070	3788172	3788172	-	True	RpoD_mono
TU0_3465_from_RPOE_MONOMER	4110892	4111744	4110892	+	True	RpoE_mono
TU0_13469_from_RpoD_mono	2037502	2039142	None	+	True	RpoD_mono
TU0_8677_from_RpoD_mono	1017682	1018160	1017682	+	True	RpoD_mono
TU0_7744_from_RpoD_mono	2166013	2166373	2166373	-	True	RpoD_mono
TU0_13010_from_RpoD_mono	668519	674006	None	-	True	RpoD_mono
TU00180_from_RpoD_mono	1229961	1231677	1229961	+	True	RpoD_mono
TU00502_from_RpoD_mono	3213619	3213695	3213619	+	True	RpoD_mono
TU00432_with_TERM54_from_RpoD_mono	3638021	3638614	3638021	+	False	RpoD_mono
TU0_13080_from_RpoD_mono	938588	939943	938588	+	True	RpoD_mono
TU0_13650_from_RpoD_mono	2641151	2642305	None	-	True	RpoD_mono
TU0_8349_from_RPOH_MONOMER	919317	921516	919317	+	True	RpoH_mono
TU0_13887_from_RpoD_mono	3333257	3334516	None	-	True	RpoD_mono
TU0_14055_from_RpoD_mono	4024466	4025251	4024466	+	True	RpoD_mono
TU00298_from_RpoD_mono	2371670	2378665	None	-	True	RpoD_mono
TU00093_from_RpoD_mono	3302595	3303882	3303882	-	True	RpoD_mono
TU0_13354_from_RpoD_mono	1716090	1716419	None	-	True	RpoD_mono
TU0_12881_from_RpoD_mono	311598	312029	312029	-	True	RpoD_mono
TU00026_from_RpoD_mono	787020	791309	791309	-	True	RpoD_mono
TU0_5082_from_RpoD_mono	1694486	1695099	1695099	-	True	RpoD_mono
TU0_13786_from_RpoD_mono	3031087	3031635	None	+	True	RpoD_mono
TU0_6554_from_RpoD_mono	3488288	3488873	3488873	-	True	RpoD_mono
TU0_14140_from_RpoD_mono	4360756	4363065	None	-	True	RpoD_mono
TU0_8761_from_RPON_MONOMER	3372605	3374258	3372605	+	True	RpoN_mono
TU0_13710_from_RpoD_mono	2795233	2796066	None	+	True	RpoD_mono
TU0_12946_from_RpoD_mono	490106	490483	None	+	True	RpoD_mono
TU361_from_RpoD_mono	960388	962891	960388	+	True	RpoD_mono
TU0_13151_from_RpoD_mono	1202247	1207768	None	+	True	RpoD_mono
TU0_13411_from_RpoD_mono	1881212	1883813	None	+	True	RpoD_mono
TU0_12811_from_RpoD_mono	114522	117705	117705	-	True	RpoD_mono
TU0_13484_from_RpoD_mono	2076599	2076955	None	+	True	RpoD_mono
TU00372_from_RpoD_mono	1607253	1608761	1608761	-	True	RpoD_mono
TU0_1547_from_EG11355_MONOMER	1964417	1970740	1970740	-	True	FliA_mono
TU00164_from_RpoD_mono	622777	623950	623950	-	True	RpoD_mono
TU0_8839_from_RpoD_mono	1403676	1403833	None	-	True	RpoD_mono
TU0_14258_from_RpoD_mono	2828797	2830329	2830329	-	True	RpoD_mono
TU0_8695_from_RpoD_mono	1380987	1381985	None	-	True	RpoD_mono
TU0_4823_from_RPOS_MONOMER	2788934	2793675	2788934	+	True	RpoS_mono
TU789_from_RpoD_mono	1665368	1666627	1666627	-	True	RpoD_mono
TU0_3481_from_RPOE_MONOMER	2454349	2455021	2455021	-	True	RpoE_mono
